,index,subject_uuid,trial_id,session_start_time,lab_name,task_protocol,trial_response_time,trial_response_choice,trial_stim_on_time,trial_stim_contrast_left,trial_stim_contrast_right,trial_feedback_type,probabilityLeft,subject_nickname,institution_short,signed_contrast,trial,choice,correct,choice_right,choice2,correct_easy,rt,previous_choice,previous_outcome,previous_contrast,previous_choice_name,previous_outcome_name,repeat,institution_code,rchoice,uchoice,6,12,25,100,block,intercept,simulation_prob,task,threshold
189521,523352,18a54f60-534b-4ed5-8bda-b434079b8ab8,1,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,2.3012,CCW,1.7555,0.0,0.125,1.0,50,KS014,UCL,12.5,1,1,1.0,1.0,1.0,,0.5457000000000001,1.0,1.0,100.0,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,,traini,14.929503884826081
189522,523353,18a54f60-534b-4ed5-8bda-b434079b8ab8,2,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,5.751,CCW,5.1190999999999995,0.0,0.125,1.0,50,KS014,UCL,12.5,2,1,1.0,1.0,1.0,,0.6319000000000008,1.0,1.0,12.5,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.9146690843806631,traini,14.929503884826081
189523,523354,18a54f60-534b-4ed5-8bda-b434079b8ab8,3,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,8.4927,CCW,8.1554,0.0,0.125,1.0,50,KS014,UCL,12.5,3,1,1.0,1.0,1.0,,0.33729999999999905,1.0,1.0,12.5,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.9146690843806631,traini,14.929503884826081
189524,523355,18a54f60-534b-4ed5-8bda-b434079b8ab8,4,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,11.273,CCW,10.8691,0.0,1.0,1.0,50,KS014,UCL,100.0,4,1,1.0,1.0,1.0,1.0,0.40390000000000015,1.0,1.0,12.5,right,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.973771728758393,traini,14.929503884826081
189525,523356,18a54f60-534b-4ed5-8bda-b434079b8ab8,5,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,16.0064,CW,15.471899999999998,0.125,0.0,1.0,50,KS014,UCL,-12.5,5,-1,1.0,0.0,0.0,,0.5345000000000013,1.0,1.0,100.0,right,post_correct,False,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.261071514380921,traini,14.929503884826081
189526,523357,18a54f60-534b-4ed5-8bda-b434079b8ab8,6,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,21.1796,CW,20.418899999999997,0.0625,0.0,1.0,50,KS014,UCL,-6.25,6,-1,1.0,0.0,0.0,,0.7607000000000035,-1.0,1.0,12.5,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.15885791661906887,traini,14.929503884826081
189527,523358,18a54f60-534b-4ed5-8bda-b434079b8ab8,7,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,24.632,CW,24.388499999999997,1.0,0.0,1.0,50,KS014,UCL,-100.0,7,-1,1.0,0.0,0.0,1.0,0.2435000000000045,-1.0,1.0,6.25,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189528,523359,18a54f60-534b-4ed5-8bda-b434079b8ab8,8,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,27.2055,CW,26.9688,1.0,0.0,1.0,50,KS014,UCL,-100.0,8,-1,1.0,0.0,0.0,1.0,0.23669999999999902,-1.0,1.0,100.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.026149217924616483,traini,14.929503884826081
189529,523360,18a54f60-534b-4ed5-8bda-b434079b8ab8,9,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,33.0095,CW,30.6549,0.0,0.0,1.0,50,KS014,UCL,0.0,9,-1,,0.0,0.0,,2.3546000000000014,-1.0,1.0,100.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.3387411424221579,traini,14.929503884826081
189530,523361,18a54f60-534b-4ed5-8bda-b434079b8ab8,10,2019-08-22 14:06:34,cortexlab,_iblrig_tasks_trainingChoiceWorld5.2.9,37.0583,CW,35.468599999999995,0.0,0.125,-1.0,50,KS014,UCL,12.5,10,-1,0.0,0.0,0.0,,1.5897000000000077,-1.0,1.0,0.0,left,post_correct,True,Lab 1,0.6673592639915136,0.9322443219254468,0.9978412406477407,1.7062161469050796,2.14597659112354,2.9485296537033445,,-0.0015498902732843944,0.7383300543658898,traini,14.929503884826081
